cust_id,status_cust_id,class_atual,deals_group_on_wpp,link,tipo_link,status_proc,id_api
1428402957,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/Itr0HHBK6I7Gwt1oJ7FyUy?mode=wwc,Grupo,processed,120363164673960479@g.us
1463526269,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/EfbYI7XUWZA1KcK89zgygE?mode=ems_copy_t,Grupo,processed,120363301686660904@g.us
1528968155,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/CmYgB22aHsx7TOrqHiR5HA?fbclid=PAZXh0bgNhZW0CMTEAAadm_gN-wFWHK0orkvFgp03psOgl56Xs7kbag4yvx6pH-s8EpKxso7OCv0NTUg_aem_Df89t4P5X9intBoCSuNH0Q,Grupo,processed,120363403742784724@g.us
1531640488,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/DlJ8XtPlZ9i2oAJMo1EXnW?mode=ems_copy_t,Grupo,processed,120363308553839701@g.us
229491441,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/BT7Z2GIyRfq100xBXrb7Dc?mode=ac_c&fbclid=PAZXh0bgNhZW0CMTEAAacVKS0RTVh1vL68sXO9-Cc6cX16yY3coG9lClLRNoyDAjZdlSZYm4MDSUapMg_aem_77Lpb6bZ1EYK2OKlgnnYRA,Grupo,processed,120363418822700181@g.us
2057503925,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/HdeizfsVqa09p5ffxHbCd2?fbclid=PAZXh0bgNhZW0CMTEAAaeL26lXQIxBZmLIkD3IT1DEJDKF321rxbusS5JGo-8UaQZ4ww5C_OccsS4kJg_aem_I8ujeNXgwIL7sxU-kq_67Q,Grupo,processed,120363401640365822@g.us
231841011,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/GMlz11599YTLP3ui9VWgXn?mode=ac_c,Grupo,processed,120363025523984059@g.us
676651691,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LOK7ys7CuZKAiBBuon1drt?mode=wwt&fbclid=PAZXh0bgNhZW0CMTEAAafuf3L3ZqWFJaFn2q6Cr0y8tauqiewpKn2Ew1LYql1orhhiog7KXYIzmzC6zg_aem_FR7-ZL8jX8YeWgbTAH9yRg,Grupo,processed,120363419553602645@g.us
1167640603,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/LKNq5b7IVGL0B89W4fKuLF?mode=ems_copy_t,Grupo,processed,120363422790512114@g.us
1890922253,Confirmado,KAM - top 1000,Sim,https://chat.whatsapp.com/JAv9DaNWBSLA25LqoC9YI3?mode=wwt,Grupo,processed,120363419523054853@g.us
